model,feature,importance_norm
RandomForest,pga,0.16967985268803615
RandomForest,H,0.18990998154993344
RandomForest,B,0.16491608818027728
RandomForest,q,0.15508670985847645
RandomForest,depth,0.20197518910481294
RandomForest,thickness,0.11843217861846392
GradientBoosting,pga,0.22185934181395864
GradientBoosting,H,0.17425956579347432
GradientBoosting,B,0.17261592650135357
GradientBoosting,q,0.07600621861191934
GradientBoosting,depth,0.22982786036106598
GradientBoosting,thickness,0.12543108691822813
XGBoost,pga,0.17343384111382407
XGBoost,H,0.16618671992719267
XGBoost,B,0.21322222741535768
XGBoost,q,0.09018056304911871
XGBoost,depth,0.17564371936251996
XGBoost,thickness,0.18133292913198698
