outlier_method,model,cv_recall_macro_best,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Winsorized,Ensemble,,0.9727891156462585,0.9690549315549316,0.9748088998088998,0.9717241520058422,0.9729348882410105,0.9727891156462585,0.9727326105595722
Winsorized,GradientBoosting,0.4613636363636363,0.8503401360544217,0.8458375230434054,0.8506907625328679,0.8477945481204776,0.8526185972964686,0.8503401360544217,0.8510723048361377
Winsorized,NeuralNetwork,0.41691017316017315,0.673469387755102,0.6722802942315138,0.7020728264149316,0.6644313751111431,0.7188847277199691,0.673469387755102,0.6796812621186702
Winsorized,RandomForest,0.5005140692640693,0.9115646258503401,0.9123459873459874,0.9198812448812449,0.914488678364637,0.9161357916459958,0.9115646258503401,0.9122120826311996
Winsorized,XGBoost,0.49350649350649345,0.9863945578231292,0.9864766081871346,0.9885101010101011,0.9874286442405709,0.9865735767991408,0.9863945578231292,0.9864087041544447
Z-Score,Ensemble,,0.9727891156462585,0.9672297297297296,0.9772078897078897,0.9719293846006175,0.9734969663541093,0.9727891156462585,0.972890135642908
Z-Score,GradientBoosting,0.46804653679653685,0.8299319727891157,0.8352752475963277,0.831881043723149,0.8291953304148426,0.8416739572283768,0.8299319727891157,0.8314870830550274
Z-Score,NeuralNetwork,0.43487554112554105,0.6530612244897959,0.6475256090808417,0.6673971220023851,0.6431945620595765,0.6899638205226719,0.6530612244897959,0.660566452143119
Z-Score,RandomForest,0.48882575757575764,0.9183673469387755,0.9179505573336276,0.9268256893256893,0.9212847899763787,0.9217602988662632,0.9183673469387755,0.9189445686870826
Z-Score,XGBoost,0.49767316017316016,0.9863945578231292,0.9889567669172933,0.9861111111111112,0.9872715572715572,0.9866950539614341,0.9863945578231292,0.9862761887251683
IQR,Ensemble,,0.9727891156462585,0.9672297297297296,0.9772078897078897,0.9719293846006175,0.9734969663541093,0.9727891156462585,0.972890135642908
IQR,GradientBoosting,0.4711038961038961,0.9251700680272109,0.9218253968253969,0.9255330689541216,0.9233367983367984,0.9251700680272109,0.9251700680272109,0.924890353461782
IQR,NeuralNetwork,0.37892316017316013,0.5850340136054422,0.5588541666666667,0.565004418293892,0.5535809648445137,0.6172477324263037,0.5850340136054422,0.5956541725840807
IQR,RandomForest,0.5080898268398268,0.9115646258503401,0.9123459873459874,0.9198812448812449,0.914488678364637,0.9161357916459958,0.9115646258503401,0.9122120826311996
IQR,XGBoost,0.5155303030303029,0.9863945578231292,0.9864766081871346,0.9885101010101011,0.9874286442405709,0.9865735767991408,0.9863945578231292,0.9864087041544447
